dimension,key,maturity_year,companies
state,UT,2042,18
state,UT,2043,39
state,UT,2044,47
state,UT,2045,58
state,UT,2046,68
state,UT,2047,50
state,UT,2048,39
state,UT,2049,41
state,UT,2050,32
state,UT,2051,15
state,UT,2052,1
state,WA,2005,1
state,WA,2010,2
state,WA,2011,2
state,WA,2012,9
state,WA,2013,4
state,WA,2014,5
state,WA,2015,11
state,WA,2016,18
state,WA,2017,15
state,WA,2018,27
state,WA,2019,28
state,WA,2020,51
state,WA,2021,44
state,WA,2022,43
state,WA,2023,56
state,WA,2024,51
state,WA,2025,51
state,WA,2026,64
state,WA,2027,60
state,WA,2028,66
state,WA,2029,79
state,WA,2030,66
state,WA,2031,59
state,WA,2032,75
state,WA,2033,56
state,WA,2034,71
state,WA,2035,98
state,WA,2036,45
state,WA,2037,40
state,WA,2038,39
state,WA,2039,19
state,WA,2040,26
state,WA,2041,34
state,WA,2042,29
state,WA,2043,31
state,WA,2044,47
state,WA,2045,50
state,WA,2046,58
state,WA,2047,31
state,WA,2048,30
state,WA,2049,30
state,WA,2050,33
state,WA,2051,15
state,WY,2012,1
state,WY,2014,1
state,WY,2016,2
state,WY,2017,1
state,WY,2018,3
state,WY,2019,4
state,WY,2020,1
state,WY,2021,2
state,WY,2022,4
state,WY,2023,2
state,WY,2024,3
state,WY,2025,8
state,WY,2026,4
state,WY,2027,6
state,WY,2028,3
state,WY,2029,3
state,WY,2030,4
state,WY,2031,4
state,WY,2032,8
state,WY,2033,2
state,WY,2034,4
state,WY,2035,7
state,WY,2036,4
state,WY,2037,5
state,WY,2038,3
state,WY,2039,4
state,WY,2040,5
state,WY,2041,3
state,WY,2042,1
state,WY,2043,3
state,WY,2044,3
state,WY,2045,1
state,WY,2046,3
state,WY,2047,1
state,WY,2048,3
state,WY,2049,8
state,WY,2050,6
state,WY,2051,3
